GEOID,weighted_ndvi
06037297601,0.26624155
06037297501,0.29057074
06037297602,0.23458564
06037297502,0.22450826
06037297300,0.26439252
06037297201,0.15501331
06037297202,0.20385355
06037296901,0.15796681
06037297002,0.23889199
06037296902,0.16258916
06037297120,0.14904551
06037297110,0.14845285
06037296220,0.17839944
06037296210,0.1622901
06037296500,0.20147143
06037295103,0.25238654
06037294900,0.17441979
06037980015,0.33386695
06037293306,0.25619245
06037293307,0.15322398
06037980031,0.10888786
06037294830,0.16383997
06037294820,0.14406233
06037294810,0.14851063
06037294520,0.1839491
06037294510,0.17179827
06037294302,0.18225855
06037294200,0.18799719
06037294301,0.19360864
06037291300,0.25772434
06037294421,0.17578168
06037294410,0.24090396
06037293304,0.16603729
06037293302,0.20353225
06037293301,0.19706917
06037293205,0.14515418
06037293206,0.18260881
06037293204,0.20219849
06037293203,0.18468626
06037292002,0.24864839
06037297001,0.27839032
06037296600,0.14610912
06037296401,0.2873572
06037296402,0.2616719
06037296300,0.27931324
06037277400,0.09856107
06037277200,0.18195234
06037277100,0.2929143
06037276000,0.28799346
06037276102,0.22068577
06037292001,0.15467842
06037235100,0.23831657
06037236400,0.26881632
06037236204,0.20245285
06037236205,0.15698752
06037236206,0.23870543
06037236001,0.3318446
06037220100,0.25733593
06037219800,0.20354028
06037219901,0.20008887
06037276101,0.17258793
06037269905,0.11930893
06037270102,0.15190575
06037269906,0.15817782
06037270101,0.16934098
06037269907,0.13977125
06037270200,0.18941034
06037269800,0.2073061
06037269700,0.23466657
06037269602,0.19384712
06037220000,0.2109188
06037219700,0.21477921
06037218702,0.19170891
06037218701,0.22284983
06037218600,0.19411911
06037218500,0.22493008
06037218210,0.17219582
06037217200,0.20188695
06037217102,0.23074073
06037216202,0.2264485
06037219902,0.21428649
06037218400,0.18997432
06037218300,0.19280984
06037270300,0.21879178
06037269601,0.1835979
06037217101,0.19409761
06037216901,0.24403016
06037216700,0.21653987
06037217002,0.2149535
06037216902,0.24886335
06037269300,0.34890792
06037267800,0.27388957
06037267902,0.28286564
06037267201,0.2087299
06037267202,0.21161911
06037267101,0.22723305
06037267102,0.25529993
06037265523,0.22252557
06037265524,0.21232016
06037265601,0.2531165
06037297400,0.2950429
06037980028,0.16482028
06037278001,0.26042417
06037276400,0.3081982
06037276500,0.3068266
06037277000,0.3048888
06037275604,0.23401807
06037275605,0.1642769
06037275603,0.24233706
06037275311,0.2347893
06037276607,0.24468765
06037276606,0.16954868
06037276605,0.19687137
06037276608,0.2349911
06037278102,0.20355597
06037276601,0.25450334
06037274202,0.13613234
06037275312,0.14563902
06037275313,0.22575569
06037273902,0.20452495
06037274100,0.16695794
06037275400,0.17435896
06037273502,0.1698287
06037273800,0.2457174
06037272202,0.17099981
06037273600,0.27278876
06037273403,0.14394353
06037272201,0.1857391
06037273700,0.27828634
06037273300,0.20996878
06037275500,0.25028718
06037275200,0.19215897
06037275101,0.21884012
06037275102,0.22524495
06037272302,0.20174628
06037272301,0.27703702
06037271902,0.2717029
06037271901,0.22420694
06037271801,0.1911471
06037271803,0.1289036
06037273200,0.23015568
06037272100,0.28940913
06037273100,0.2977246
06037271400,0.3015789
06037271300,0.27816367
06037271200,0.1862735
06037267600,0.2164166
06037267700,0.15800107
06037267502,0.16727938
06037267504,0.15517567
06037269903,0.13119918
06037271804,0.21683161
06037271500,0.31863725
06037271600,0.2667414
06037269909,0.13725254
06037271703,0.2436783
06037271702,0.22775257
06037269908,0.14699867
06037271704,0.2971962
06037271100,0.29969633
06037267503,0.15425804
06037267405,0.1313728
06037267300,0.12739123
06037267406,0.15336524
06037267404,0.1652183
06037264306,0.18758874
06037267403,0.14922523
06037264305,0.2549265
06037264304,0.13644429
06037264303,0.1308715
06037273404,0.12865736
06037262706,0.35574982
06037262802,0.43114874
06037262704,0.37425023
06037262501,0.38231558
06037262604,0.3771689
06037262601,0.38802323
06037262400,0.47363967
06037980019,0.46374303
06037139703,0.3942354
06037264103,0.15239525
06037264000,0.4053457
06037264102,0.2865765
06037265410,0.35858425
06037265303,0.18863179
06037265420,0.37876347
06037262303,0.45269167
06037262302,0.41901103
06037262200,0.41877276
06037262301,0.4151772
06037265304,0.20157887
06037265301,0.29903877
06037265100,0.39498153
06037262100,0.46838766
06037261200,0.42742893
06037141600,0.41133207
06037141202,0.30703685
06037141304,0.28011966
06037141306,0.24501267
06037141303,0.16202438
06037216201,0.21382937
06037216302,0.21293572
06037215102,0.15632434
06037215101,0.16005838
06037214504,0.31917748
06037214503,0.34159005
06037214505,0.25427818
06037214501,0.29266185
06037214000,0.24571723
06037214400,0.15636486
06037216800,0.25224942
06037216401,0.156752
06037216301,0.28953195
06037216402,0.16592252
06037214700,0.23557842
06037214800,0.1806262
06037214600,0.20681305
06037214902,0.16425993
06037214904,0.17571825
06037214903,0.18878385
06037265522,0.22365013
06037265521,0.1753358
06037265701,0.29037586
06037265602,0.20852843
06037265702,0.27413633
06037265203,0.2921545
06037265204,0.1710967
06037265307,0.16431649
06037265201,0.31483325
06037265306,0.18500628
06037269500,0.37277082
06037269000,0.32668984
06037217001,0.23524877
06037269100,0.22734372
06037267901,0.26182696
06037261104,0.42695746
06037261102,0.45593426
06037143902,0.3686792
06037141700,0.4350051
06037141102,0.29834154
06037194500,0.24157308
06037194402,0.20914946
06037194200,0.40038723
06037194300,0.39427197
06037261103,0.4135835
06037143901,0.4185522
06037143801,0.41285783
06037143602,0.28054878
06037143302,0.3403836
06037143500,0.34717238
06037143401,0.34995198
06037141101,0.26048702
06037141201,0.23239844
06037124700,0.3041456
06037128704,0.34188855
06037124600,0.3208946
06037128703,0.25172618
06037128602,0.322142
06037124500,0.31623897
06037128500,0.29378343
06037143301,0.24614342
06037143402,0.3149049
06037125102,0.37089807
06037124000,0.3331929
06037124903,0.16985151
06037125101,0.22645813
06037124902,0.19496527
06037124400,0.2688552
