GEOID,weighted_ndvi
04013116727,0.1774853
04013116728,0.17264582
04013116733,0.18397173
04013116734,0.15297386
04013116735,0.1544605
04013116736,0.18556598
04013116614,0.18993284
04013116500,0.20131369
04013116615,0.16890286
04013115802,0.17133728
04013116713,0.17599146
04013116721,0.16561295
04013116720,0.16193134
04013116729,0.17168841
04013116710,0.19867639
04013116300,0.1595826
04013116203,0.23121782
04013116100,0.1316912
04013116000,0.18835557
04013117200,0.114618495
04013116714,0.15771234
04013116725,0.20850047
04013116737,0.19207132
04013116703,0.17832766
04013116400,0.19571933
04013115900,0.1878827
04013115801,0.16786897
04013115300,0.14343049
04013115400,0.1499908
04013114900,0.18421814
04013115700,0.20174152
04013114800,0.12962559
04013114302,0.16206019
04013114402,0.13964087
04013114401,0.14048609
04013114301,0.12623191
04013112900,0.16979665
04013116800,0.17173904
04013111900,0.3096468
04013117000,0.16393341
04013113900,0.11515471
04013981000,0.10883389
04013113301,0.14548104
04013113201,0.14963509
04013113503,0.16888554
04013113204,0.16659692
04013111501,0.17558192
04013111601,0.20230316
04013111602,0.17061211
04013111700,0.20797727
04013114200,0.1186139
04013114000,0.12350191
04013114100,0.064093746
04013113202,0.16128935
04013113100,0.14468895
04013113000,0.20320868
04013111800,0.2563733
04013110502,0.1647121
04013110501,0.17114976
04013110400,0.21061085
04013110702,0.21068563
04013110701,0.15977775
04013110600,0.22779888
04013108601,0.1509917
04013108502,0.17476825
04013108501,0.18636051
04013108602,0.17348795
04013107700,0.24752975
04013107602,0.22361615
04013107601,0.20263843
04013117100,0.17872809
04013108901,0.2227359
04013108802,0.19340031
04013108902,0.18528117
04013107402,0.13672285
04013107500,0.28161678
04013107403,0.15138865
04013107401,0.25745666
04013107404,0.1554965
04013106703,0.27852216
04013109003,0.14088503
04013109001,0.113819204
04013109002,0.15110336
04013107201,0.14575738
04013107300,0.18106996
04013107202,0.18493685
04013106802,0.1977455
04013106801,0.1458688
04013106900,0.18280438
04013106003,0.18330613
