GEOID,weighted_ndvi
06073010009,0.2463657
06073010013,0.19550397
06073010012,0.22962391
06073010005,0.22362427
06073010111,0.21698047
06073010004,0.20328362
06073010106,0.23976992
06073010011,0.20791073
06073010010,0.24194455
06073010001,0.21291727
06073010015,0.23483945
06073010016,0.09102395
06073003209,0.24515747
06073003213,0.2211483
06073003214,0.29458225
06073003115,0.21890348
06073003114,0.21063009
06073003107,0.22100003
06073003103,0.24142233
06073003105,0.23451452
06073010017,0.2401823
06073010018,0.26142594
06073010003,0.20313081
06073010019,0.269404
06073013308,0.27551466
06073003212,0.22711089
06073003202,0.22033268
06073003208,0.24879403
06073003211,0.23246212
06073003201,0.2691046
06073010107,0.19286935
06073013205,0.16804418
06073003603,0.19024222
06073003303,0.2555249
06073003602,0.22464827
06073003305,0.21611057
06073003301,0.2566319
06073003304,0.22476365
06073003501,0.21430066
06073003404,0.22565627
06073003109,0.23841682
06073003113,0.23179522
06073003101,0.23556568
06073003111,0.23617753
06073003112,0.21687457
06073003004,0.23455018
06073003001,0.26133975
06073003003,0.2788752
06073002712,0.20452727
06073002705,0.26050252
06073003403,0.2220424
06073003401,0.26283604
06073002502,0.28918934
06073004200,0.31711993
06073002602,0.258543
06073002501,0.23077159
06073002601,0.18817972
06073002402,0.14716868
06073001500,0.20222384
06073002401,0.18307677
06073002711,0.26058125
06073002703,0.24295634
06073002710,0.2258033
06073002709,0.26839104
06073002702,0.24378379
06073002708,0.18212995
06073002707,0.13603398
06073002301,0.1481598
06073002804,0.2841579
06073002803,0.23196748
06073014102,0.22637086
06073002903,0.25313717
06073002902,0.25918925
06073002905,0.20581405
06073002904,0.2288019
06073009706,0.28674513
06073009802,0.2348458
06073009801,0.2721015
06073009804,0.26759553
06073009704,0.31643
06073002302,0.14511746
06073002202,0.1297071
06073002201,0.15208517
06073001600,0.15699112
06073002100,0.1914183
06073001700,0.17912246
06073001201,0.16968541
06073001801,0.20178406
06073001802,0.16062172
06073002001,0.34522754
06073002002,0.3318188
06073002801,0.27299488
06073009705,0.3068236
06073009604,0.23634094
06073009703,0.2709208
06073009602,0.24763606
06073009509,0.38696298
06073009510,0.39030927
06073009506,0.34199503
06073009502,0.316949
06073010109,0.242466
06073010112,0.2694375
06073010104,0.20084064
06073010110,0.20505247
06073010103,0.17289966
06073021900,0.095658086
06073003800,0.20900077
06073003601,0.20251429
06073003502,0.19763443
06073003902,0.20274234
06073010601,0.16353118
06073011000,0.26940912
06073005103,0.13077094
06073005102,0.11336431
06073005401,0.12284936
06073005403,0.17293178
06073005202,0.13385135
06073005301,0.10106732
06073005402,0.16749272
06073005302,0.12415297
06073005000,0.13407178
06073004900,0.1759666
06073003901,0.19138981
06073004000,0.19089353
06073004800,0.19323622
06073004700,0.2006177
06073005101,0.12682325
06073004101,0.213647
06073004102,0.20868729
06073004600,0.22488062
06073011100,0.26366773
06073009901,0.2996429
06073011300,0.2073001
06073009902,0.06240228
06073007100,0.32604024
06073006200,0.17850894
06073007200,0.33651298
06073021402,0.20000641
06073021401,0.26718417
06073006300,0.15961814
06073004501,0.22251001
06073005201,0.1316177
06073004400,0.2773026
06073005500,0.17214654
06073005602,0.22311856
06073004300,0.27411208
06073001400,0.20360565
06073000800,0.22479546
06073000700,0.227164
06073000302,0.21435843
06073005601,0.1306859
06073005700,0.15693638
06073005802,0.13372655
06073005801,0.12680374
06073005900,0.16219705
06073006000,0.25844646
06073006100,0.2442287
06073000301,0.24795644
06073000202,0.29753166
06073000400,0.20414594
06073007002,0.3329244
06073007302,0.30112404
06073006600,0.2216723
06073006900,0.31017455
06073007303,0.23859476
06073006500,0.2148395
06073007402,0.2772883
06073007304,0.2018418
06073006802,0.23936094
06073007401,0.24912786
06073001301,0.13952285
06073001302,0.16263182
06073000901,0.16177787
06073000902,0.18358412
06073000600,0.21902493
06073001202,0.17387408
06073001000,0.20925638
06073000500,0.27989423
06073001100,0.21788828
06073009307,0.2969304
06073000201,0.32752842
06073000100,0.3480129
06073008902,0.36124888
06073009107,0.2453089
06073008901,0.29940295
06073009109,0.35856256
06073009000,0.31271917
06073009104,0.3018011
06073008600,0.2880758
06073009103,0.2869368
06073007502,0.18954459
06073007501,0.23639184
06073006801,0.33155838
06073009108,0.23477507
06073007602,0.1285357
06073007601,0.16190676
06073007701,0.20255631
06073007702,0.21486452
06073007910,0.18790422
06073007907,0.2064943
06073009308,0.3004396
06073009203,0.27892196
06073008800,0.25639352
06073009204,0.2640688
06073008702,0.2486623
06073009201,0.2673002
06073008701,0.31709462
06073008510,0.23115315
06073008509,0.27382192
06073008507,0.20451552
06073007908,0.22057231
06073007800,0.28640738
06073007905,0.19834705
06073007912,0.23312056
06073007911,0.20538622
06073008003,0.23224708
06073008002,0.29675186
06073008503,0.29134807
06073008006,0.23161681
06073008301,0.37494
06073009101,0.30007005
06073009102,0.30743688
06073008513,0.31092575
06073008512,0.28553256
06073008504,0.2914875
06073008506,0.26909935
06073008502,0.2820527
06073008345,0.3319888
06073008307,0.33477142
06073008344,0.31559882
06073008102,0.30554387
06073008310,0.36203673
06073008311,0.38307753
06073008501,0.31898093
06073008101,0.22268777
06073008303,0.4419612
06073008306,0.33571544
06073008202,0.17069058
06073008201,0.19693701
06073008313,0.39204502
06073008505,0.24511845
06073008350,0.23375762
06073008346,0.3201916
06073008372,0.36370826
06073021502,0.34833622
06073021501,0.33530787
06073008328,0.3474244
06073008343,0.36166033
06073008375,0.33733237
06073008363,0.20088157
06073008376,0.267655
06073008379,0.19038567
06073008377,0.1969482
06073008378,0.18095592
06073008339,0.3198435
06073008371,0.32944086
06073008373,0.3636351
06073008364,0.3399634
06073008362,0.3034643
06073008361,0.30696604
06073008305,0.31085196
06073008312,0.3640794
06073008324,0.34923097
06073017308,0.31808946
06073008374,0.3245689
06073008331,0.3339953
06073008370,0.3378185
06073008369,0.28782544
06073008330,0.35058886
06073008327,0.33003286
06073017306,0.44750085
06073001900,0.32031503
06073009603,0.31244072
06073009305,0.28557467
06073009306,0.307453
06073009511,0.36086947
06073009301,0.22543909
06073008511,0.2119773
06073008351,0.20774502
06073008348,0.29371926
06073008349,0.20784369
06073009805,0.31201094
06073009507,0.31251022
06073016606,0.2505344
06073009505,0.34533086
06073009504,0.3838888
06073017047,0.35546768
06073017046,0.3346111
06073017045,0.3525583
06073017044,0.33868694
06073017043,0.3304625
06073009400,0.176684
06073008360,0.2393578
06073017022,0.36716652
06073008359,0.24288566
06073008358,0.23789954
06073008357,0.22694583
06073008355,0.2233165
06073008381,0.29687783
06073008380,0.3235218
06073008352,0.23615648
06073017067,0.34670922
06073017068,0.35618457
06073017039,0.33737445
06073017018,0.2730389
06073017035,0.31227967
06073017055,0.3226356
06073017056,0.32892475
06073017033,0.29880422
06073017034,0.31899762
06073017051,0.3409926
06073008356,0.24744771
06073008347,0.254651
06073008365,0.29667073
06073008366,0.30507693
06073008367,0.28606245
06073017062,0.4124121
06073017061,0.44189283
06073008353,0.27270713
06073017037,0.30888742
06073017036,0.29857948
06073008337,0.2998066
06073008336,0.32067078
06073008368,0.3186323
06073017065,0.3229103
06073017052,0.35411695
06073017069,0.30882
06073017006,0.35774556
06073017014,0.24506535
06073017071,0.33636543
